epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.39669346809387207,1e-04,0.3722447156906128,0.6784610748291016,0.5901690721511841,0.33671239018440247,0.37214332818984985,0.6843751668930054,0.7866970896720886
1,0.303872287273407,1e-04,0.3722447454929352,0.7606829404830933,0.7129138112068176,0.39147642254829407,0.3721436560153961,0.6336087584495544,0.8886593580245972
2,0.269089013338089,1e-04,0.3722447156906128,0.7904007434844971,0.7555122375488281,0.2856839597225189,0.37214332818984985,0.7197132110595703,0.8668180704116821
3,0.24231690168380737,1e-04,0.37224525213241577,0.8121659755706787,0.7890756130218506,0.24206188321113586,0.37214329838752747,0.7807691097259521,0.8283671140670776
4,0.22614805400371552,1e-04,0.3722446858882904,0.8266598582267761,0.8039201498031616,0.24735675752162933,0.37214332818984985,0.8594996929168701,0.7298164963722229
5,0.20742906630039215,1e-04,0.3722446858882904,0.8404228091239929,0.8260181546211243,0.27634429931640625,0.37214335799217224,0.8764736652374268,0.611504316329956
6,0.19259688258171082,1e-04,0.3722446858882904,0.851341962814331,0.8434314131736755,0.19680587947368622,0.37214332818984985,0.8767465353012085,0.8005706667900085
7,0.17629873752593994,1e-04,0.3722451329231262,0.8644976615905762,0.8566924929618835,0.19433367252349854,0.37214338779449463,0.8435173034667969,0.8487314581871033
8,0.16414932906627655,1e-04,0.3722451627254486,0.8717965483665466,0.8720468878746033,0.2083657830953598,0.37214329838752747,0.8394151329994202,0.8179841041564941
9,0.15343691408634186,1e-04,0.37224486470222473,0.8820719122886658,0.8800488114356995,0.21992243826389313,0.37214332818984985,0.789008378982544,0.8999252915382385
